x;y
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;113
-124;117
-124;120
-124;122
-124;123
-124;123
-124;123
-124;123
-124;123
-122;123
-117;123
-112;123
-110;123
-107;123
-102;123
-100;123
-97;123
-92;123
-87;123
-85;123
-77;123
-74;123
-70;123
-64;123
-61;123
-54;123
-51;123
-44;123
-38;123
-31;123
-28;123
-21;123
-18;123
-11;123
-8;123
-1;123
1;123
7;123
14;123
17;123
23;123
27;123
33;123
36;123
43;123
46;123
53;123
58;123
66;123
71;123
79;123
83;123
92;123
98;123
103;123
106;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
