x;y
121;-115
121;-113
120;-110
117;-105
116;-103
114;-101
111;-98
109;-96
107;-95
105;-93
100;-93
98;-93
98;-93
98;-93
98;-93
98;-93
98;-93
96;-93
92;-93
90;-93
88;-91
86;-89
83;-87
76;-84
73;-83
69;-82
63;-82
61;-82
60;-82
58;-82
56;-81
52;-77
50;-75
47;-73
42;-70
40;-70
39;-70
39;-70
39;-70
39;-69
39;-68
38;-66
35;-64
30;-61
28;-60
26;-60
24;-60
24;-60
24;-60
24;-58
24;-58
24;-54
24;-53
24;-51
24;-49
24;-49
24;-49
24;-49
24;-49
24;-47
24;-44
24;-42
24;-37
24;-34
24;-32
24;-29
21;-24
20;-22
18;-20
17;-19
14;-19
12;-19
11;-19
8;-17
6;-15
5;-12
5;-10
5;-5
5;-2
5;0
5;1
5;3
5;7
5;8
5;8
5;8
0;8
0;8
-3;8
-5;10
-9;15
-9;15
-13;19
-15;21
-19;24
-22;25
-22;27
-22;28
-22;30
-22;30
-22;30
-24;30
-29;30
-32;32
-34;35
-37;38
-43;45
-46;48
-49;51
-53;53
-56;54
-60;58
-62;60
-64;62
-66;62
-69;62
-71;62
-74;62
-76;63
-80;69
-82;73
-84;76
-88;82
-90;82
-92;82
-94;82
-94;82
-94;82
-94;84
-94;88
-96;90
-98;92
-100;94
-102;96
-106;99
-107;101
-107;102
-107;104
-107;105
-107;105
-107;105
-107;105
-107;105
-107;105
-107;105
-107;105
-107;105
-107;106
-107;108
-107;110
-107;112
-107;116
-107;118
-107;118
-107;118
-107;118
-107;118
-107;118
-107;118
-107;118
-107;118
-107;118
-107;118
-107;118
-107;118
-109;118
-111;118
-115;118
-117;118
-118;118
-119;118
-119;118
-119;118
-119;118
-119;118
-119;118
-119;118
-119;118
-119;118
