x;y
120;123
120;122
120;121
120;119
120;117
120;115
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
116;112
115;112
113;111
111;109
110;108
109;104
109;102
109;102
109;102
109;102
109;102
109;102
109;100
109;94
108;90
105;87
103;85
98;81
95;79
93;78
91;76
87;74
85;74
81;74
79;74
77;74
75;74
73;74
69;74
67;74
64;74
62;74
59;71
54;66
54;64
54;61
54;59
54;55
54;54
54;52
53;51
50;49
48;49
46;49
44;49
40;49
38;48
36;46
34;44
31;39
31;37
31;35
31;32
31;28
30;26
29;24
27;22
24;19
22;18
20;16
18;15
14;11
12;10
10;8
8;6
5;3
3;1
1;0
0;-2
-3;-5
-5;-7
-6;-8
-10;-12
-12;-14
-13;-16
-15;-17
-17;-19
-20;-22
-22;-23
-24;-25
-27;-28
-28;-29
-30;-31
-31;-32
-33;-35
-33;-37
-33;-39
-33;-40
-33;-42
-33;-45
-33;-47
-33;-47
-33;-47
-33;-47
-34;-47
-37;-47
-39;-47
-41;-47
-42;-47
-46;-47
-46;-47
-49;-50
-51;-52
-53;-54
-54;-57
-54;-59
-54;-60
-54;-62
-54;-65
-56;-66
-57;-67
-61;-67
-63;-67
-64;-67
-66;-67
-68;-68
-71;-72
-73;-75
-75;-77
-75;-79
-75;-83
-75;-85
-75;-87
-76;-90
-78;-91
-80;-91
-82;-91
-84;-91
-86;-91
-87;-91
-90;-94
-92;-96
-93;-98
-96;-102
-98;-103
-99;-103
-101;-103
-104;-103
-105;-103
-106;-103
-106;-103
-106;-103
-106;-103
-106;-103
-106;-103
-106;-103
-106;-103
-106;-103
-106;-103
-106;-104
-106;-106
-106;-109
-106;-111
-106;-113
-108;-116
-110;-116
-113;-116
-115;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
-116;-116
