;time;x;y;fx;fy
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;56
;;120;-120;0;56
;;120;-120;0;56
;;120;-120;0;56
;;120;-120;0;56
;;120;-118;0;170
;;120;-115;0;170
;;120;-113;0;170
;;120;-110;0;170
;;120;-105;0;170
;;120;-101;0;246
;;120;-96;0;246
;;120;-92;0;246
;;120;-82;0;246
;;120;-78;0;246
;;120;-74;0;162
;;120;-71;0;162
;;120;-67;0;162
;;120;-64;0;162
;;120;-62;0;162
;;120;-59;0;136
;;120;-55;0;136
;;120;-53;0;136
;;120;-51;0;136
;;120;-49;0;136
;;120;-44;0;189
;;120;-41;0;189
;;120;-38;0;189
;;120;-35;0;189
;;120;-29;0;204
;;120;-26;0;204
;;120;-23;0;204
;;120;-19;0;204
;;120;-13;0;204
;;120;-10;0;172
;;120;-7;0;172
;;120;-5;0;172
;;120;0;0;172
;;120;2;0;172
;;120;5;0;172
;;120;7;0;154
;;120;11;0;154
;;120;13;0;154
;;120;15;0;154
;;120;17;0;154
;;120;21;0;142
;;120;23;0;142
;;120;25;0;142
;;120;27;0;142
;;120;31;0;139
;;120;33;0;139
;;120;35;0;139
;;120;37;0;139
;;120;41;0;139
;;120;43;0;131
;;120;45;0;131
;;120;47;0;131
;;120;50;0;131
;;120;52;0;131
;;120;53;0;108
;;120;53;0;108
;;120;53;0;108
;;120;53;0;108
;;120;53;0;108
;;120;53;0;174
;;120;58;0;174
;;120;61;0;174
;;120;63;0;174
;;120;66;0;174
;;120;72;0;196
;;120;75;0;196
;;120;78;0;196
;;120;81;0;196
;;120;88;0;196
;;120;88;0;0
;;120;88;0;0
;;120;88;0;0
;;120;88;0;0
;;120;88;0;0
;;120;88;0;77
;;120;88;0;77
;;120;88;0;77
;;120;88;0;77
;;120;88;0;77
;;120;90;0;212
;;120;96;0;212
;;120;99;0;212
;;120;103;0;212
;;120;106;0;212
;;120;108;0;72
;;120;108;0;72
;;120;108;0;72
;;120;108;0;72
;;120;108;0;0
;;120;108;0;0
;;120;108;0;0
;;120;108;0;0
;;120;108;0;0
;;120;108;0;178
;;120;111;0;178
;;120;113;0;178
;;120;118;0;178
;;120;121;0;178
;;120;123;0;178
;;120;126;0;0
;;120;126;0;0
;;120;126;0;0
;;120;126;0;0
;;120;126;0;0
;;120;126;0;-55
;;120;126;0;-55
;;120;126;0;-55
;;120;126;0;-55
;;120;126;0;-54
;;120;126;0;-54
;;120;126;0;-54
;;120;126;0;-54
;;120;126;0;-54
;;120;126;0;-38
;;120;126;0;-38
;;120;126;0;-38
;;120;126;0;-38
;;120;126;0;-38
;;120;126;0;0
;;120;126;0;0
;;120;126;0;0
;;120;126;0;0
;;120;126;0;0
;;120;126;0;-49
;;120;126;-28;-49
;;120;126;-28;-49
;;120;126;-28;-49
;;120;126;-28;-49
;;120;124;-28;-124
;;120;122;-50;-124
;;120;120;-50;-124
;;120;119;-50;-124
;;120;115;-50;-144
;;120;113;-50;-144
;;120;111;-47;-144
;;120;109;-47;-144
;;120;107;-47;-144
;;120;103;-47;-144
;;120;103;-47;0
;;120;103;-47;0
;;120;103;-32;0
;;120;103;-32;0
;;120;103;-32;0
;;120;103;-32;0
;;120;103;-33;0
;;120;103;-33;0
;;120;103;-33;0
;;120;103;-33;0
;;120;103;-33;-28
;;120;103;-49;-28
;;120;103;-49;-28
;;120;103;-49;-28
;;120;103;-49;-54
;;120;103;-49;-54
;;120;103;-80;-54
;;120;103;-80;-54
;;120;103;-80;-54
;;120;103;-80;-81
;;120;103;-80;-81
;;120;103;-92;-81
;;120;103;-92;-81
;;120;103;-92;-81
;;120;103;-92;-106
;;120;103;-92;-106
;;118;103;-122;-106
;;116;103;-122;-106
;;114;103;-122;-106
;;113;103;-122;-118
;;111;102;-122;-118
;;108;99;-133;-118
;;106;97;-133;-118
;;104;96;-133;-118
;;101;94;-133;-89
;;99;94;-133;-89
;;99;94;-82;-89
;;99;94;-82;-89
;;99;94;-82;-89
;;99;93;-82;-113
;;99;91;-82;-113
;;99;90;-100;-113
;;99;88;-100;-113
;;99;85;-100;-113
;;99;84;-100;-127
;;99;82;-100;-127
;;98;80;-139;-127
;;94;77;-139;-127
;;93;75;-139;-127
;;91;74;-139;-79
;;89;74;-139;-79
;;84;74;-177;-79
;;81;74;-177;-79
;;78;74;-177;-79
;;75;74;-177;-80
;;70;74;-148;-80
;;68;74;-148;-80
;;66;74;-148;-80
;;64;74;-148;-80
;;59;72;-148;-150
;;58;70;-99;-150
;;58;68;-99;-150
;;58;66;-99;-150
;;58;61;-99;-111
;;58;60;-99;-111
;;58;58;-111;-111
;;56;57;-111;-111
;;53;54;-111;-111
;;52;52;-111;-111
;;50;52;-111;-64
;;47;52;-146;-64
;;45;52;-146;-64
;;43;52;-146;-64
;;39;52;-146;-91
;;37;52;-146;-91
;;35;52;-113;-91
;;34;52;-113;-91
;;32;52;-113;-91
;;31;52;-113;-91
;;28;50;-113;-132
;;27;48;-70;-132
;;27;46;-70;-132
;;27;45;-70;-132
;;27;42;-70;-88
;;27;42;-70;-88
;;27;42;-76;-88
;;27;42;-76;-88
;;27;42;-76;-88
;;27;42;-76;-114
;;27;40;-76;-114
;;27;39;-105;-114
;;27;36;-105;-114
;;27;34;-105;-114
;;27;33;-105;-132
;;27;29;-112;-132
;;25;27;-112;-132
;;24;26;-112;-132
;;22;24;-112;-132
;;21;22;-112;-74
;;18;22;-132;-74
;;16;22;-132;-74
;;14;22;-132;-74
;;13;22;-132;-74
;;9;22;-132;-99
;;8;22;-132;-99
;;7;22;-96;-99
;;7;22;-96;-99
;;7;22;-96;-99
;;7;21;-96;-131
;;7;19;-96;-131
;;7;16;-80;-131
;;7;14;-80;-131
;;7;12;-80;-131
;;7;12;-80;-108
;;7;12;-80;-108
;;7;12;-109;-108
;;7;12;-109;-108
;;7;12;-109;-108
;;7;12;-109;-96
;;7;12;-120;-96
;;5;12;-120;-96
;;3;12;-120;-96
;;2;12;-120;-96
;;-1;9;-120;-131
;;-4;6;-115;-131
;;-4;6;-115;-131
;;-7;2;-115;-131
;;-9;1;-115;-111
;;-10;0;-115;-111
;;-11;-1;-81;-111
;;-11;-4;-81;-111
;;-11;-6;-81;-111
;;-11;-7;-81;-76
;;-11;-7;-81;-76
;;-11;-7;-79;-76
;;-11;-7;-79;-76
;;-11;-7;-79;-76
;;-11;-7;-79;-76
;;-11;-7;-79;-105
;;-11;-7;-100;-105
;;-11;-7;-100;-105
;;-11;-7;-100;-105
;;-11;-7;-100;-105
;;-11;-7;-100;-110
