time;x;y;fx;fy
63;120;118;0;0
126;120;118;0;0
189;120;118;0;-194
252;120;115;0;-194
315;120;108;0;-194
378;120;105;0;-194
441;120;102;0;-194
504;120;99;0;-194
567;120;94;0;-144
630;120;92;0;-144
693;120;90;0;-144
756;120;88;0;-144
819;120;84;0;-163
882;120;81;0;-163
945;120;79;0;-163
1008;120;74;0;-163
1071;120;71;0;-163
1134;120;69;0;-188
1197;120;66;0;-188
1260;120;61;0;-188
1323;120;59;0;-188
1386;120;56;0;-188
1449;120;53;0;-221
1512;120;50;0;-221
1575;120;43;0;-221
1638;120;40;0;-221
1701;120;36;0;-221
1764;120;33;0;-234
1827;120;26;0;-234
1890;120;23;0;-234
1953;120;20;0;-234
2016;120;16;0;-234
2079;120;8;0;-245
2142;120;3;0;-245
2205;120;-1;0;-245
2268;120;-5;0;-245
2331;120;-15;0;-210
2394;120;-18;0;-210
2457;120;-21;0;-210
2520;120;-25;0;-210
2583;120;-31;0;-210
2646;120;-35;0;-210
2709;120;-37;0;-174
2772;120;-42;0;-174
2835;120;-45;0;-174
2898;120;-48;0;-174
2961;120;-50;0;-174
3024;120;-53;0;-193
3087;120;-58;0;-193
3150;120;-61;0;-193
3213;120;-64;0;-193
3276;120;-66;0;-193
3339;120;-71;0;-175
3402;120;-74;0;-175
3465;120;-76;0;-175
3528;120;-79;0;-175
3591;120;-84;0;-142
3654;120;-86;0;-142
3717;120;-88;0;-142
3780;120;-90;0;-142
3843;120;-94;0;-142
3906;120;-96;0;-132
3969;120;-98;0;-132
4032;120;-99;0;-132
4095;120;-103;0;-132
4158;120;-105;0;-132
4221;120;-106;0;-126
4284;120;-108;0;-126
4347;120;-112;0;-126
4410;120;-113;0;-126
4473;120;-115;0;-126
4536;120;-117;0;-115
4599;120;-120;0;-115
4662;120;-121;0;-115
4725;120;-123;0;-115
4788;120;-124;0;-115
4851;120;-126;0;-47
4914;120;-126;0;-47
4977;120;-126;0;-47
5040;120;-126;0;-47
5103;120;-126;0;-47
5166;120;-126;0;0
5229;120;-126;0;0
5292;120;-126;0;0
5355;120;-126;0;0
5418;120;-126;0;0
5481;120;-126;0;0
5544;120;-126;0;0
5607;120;-126;0;0
5670;120;-126;0;0
5733;120;-126;0;0
5796;120;-126;0;0
5859;120;-126;0;0
5922;120;-126;0;0
5985;120;-126;0;0
6048;120;-126;0;0
6111;120;-126;0;0
6174;120;-126;0;0
6237;120;-126;0;0
6300;120;-126;0;0
6363;120;-126;0;0
6426;120;-126;0;0
6489;120;-126;0;0
6552;120;-126;0;0
6615;120;-126;0;0
6678;120;-126;0;0
6741;120;-126;0;0
6804;120;-126;0;0
6867;120;-126;0;83
6930;120;-126;0;83
6993;120;-126;0;83
7056;120;-126;0;83
7119;120;-126;0;83
7182;120;-126;0;83
7245;120;-124;0;146
7308;120;-122;0;146
7371;120;-118;0;146
7434;120;-116;0;146
7497;120;-114;0;146
7560;120;-113;0;100
7623;120;-113;0;100
7686;120;-113;0;100
7749;120;-113;0;100
7812;120;-113;0;100
7875;120;-113;-59;0
7938;120;-113;-59;0
8001;120;-113;-59;0
8064;120;-113;-59;0
8127;120;-113;-59;0
8190;120;-113;-40;0
8253;120;-113;-40;0
8316;120;-113;-40;0
8379;120;-113;-40;0
8442;120;-113;-40;180
8505;120;-110;-73;180
8568;120;-108;-73;180
8631;120;-103;-73;180
8694;120;-100;-73;180
8757;120;-97;-73;279
8820;119;-92;-199;279
8883;113;-83;-199;279
8946;110;-79;-199;279
9009;107;-74;-199;279
9072;104;-69;-199;0
9135;97;-69;-478;0
9198;93;-69;-478;0
9261;89;-69;-478;0
9324;86;-69;-478;0
9387;78;-69;-478;0
9450;75;-69;-190;0
9513;72;-69;-190;0
9576;69;-69;-190;0
9639;63;-69;-190;0
9702;60;-68;-190;130
9765;58;-66;-180;130
9828;55;-65;-180;130
9891;50;-61;-180;130
9954;48;-59;-180;130
10017;45;-58;-180;137
10080;39;-54;-214;137
10143;36;-52;-214;137
10206;33;-50;-214;137
10269;29;-48;-214;137
10332;26;-47;-214;108
10395;18;-47;-249;108
