x;y
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;119
-117;118
-117;115
-117;113
-117;108
-117;105
-117;102
-117;96
-117;92
-117;89
-117;82
-117;80
-117;77
-117;75
-117;70
-117;67
-117;64
-117;60
-117;54
-117;50
-117;47
-117;43
-117;40
-117;36
-117;29
-117;25
-117;21
-117;14
-117;11
-117;3
-117;0
-117;-3
-117;-7
-117;-10
-117;-14
-117;-22
-117;-27
-117;-31
-117;-36
-117;-41
-117;-50
-117;-51
-117;-55
-117;-57
-117;-58
-117;-60
-117;-63
-117;-64
-117;-66
-117;-67
-117;-69
-117;-71
-117;-77
-117;-79
-117;-84
-117;-86
-117;-88
-117;-90
-117;-92
-117;-97
-117;-97
-117;-97
-117;-97
-117;-97
-117;-97
-117;-97
-117;-97
-117;-97
-117;-97
-117;-97
-117;-102
-117;-105
-117;-109
-117;-112
-117;-115
-117;-118
-117;-121
-117;-124
-117;-125
-117;-127
-117;-127
-117;-127
-117;-127
-117;-127
-117;-127
-117;-127
-117;-127
-117;-127
