;time;x;y;fx;fy
;63;120;-120;38;0
;126;120;-120;38;0
;189;120;-120;38;0
;252;120;-120;38;0
;315;120;-120;38;90
;378;120;-120;38;90
;441;120;-120;40;90
;504;120;-120;40;90
;567;120;-120;40;90
;630;120;-119;40;140
;693;120;-117;40;140
;756;120;-115;42;140
;819;120;-111;42;140
;882;120;-109;42;140
;945;120;-107;42;144
;1008;120;-105;42;144
;1071;120;-100;41;144
;1134;120;-98;41;144
;1197;120;-96;41;144
;1260;120;-95;41;85
;1323;120;-95;46;85
;1386;120;-95;46;85
;1449;120;-95;46;85
;1512;120;-95;46;85
;1575;120;-93;46;153
;1638;120;-91;51;153
;1701;120;-89;51;153
;1764;120;-87;51;153
;1827;120;-82;51;153
;1890;120;-78;51;272
;1953;120;-73;51;272
;2016;120;-69;40;272
;2079;120;-59;40;272
;2142;120;-54;40;272
;2205;120;-53;40;79
;2268;120;-53;40;79
;2331;120;-53;44;79
;2394;120;-53;44;79
;2457;120;-53;44;79
;2520;120;-53;44;93
;2583;120;-53;39;93
;2646;120;-53;39;93
;2709;120;-53;39;93
;2772;120;-51;39;305
;2835;120;-48;39;305
;2898;120;-44;34;305
;2961;120;-40;34;305
;3024;120;-33;34;305
;3087;120;-30;34;129
;3150;120;-28;34;129
;3213;120;-26;36;129
;3276;120;-23;36;129
;3339;120;-21;36;129
;3402;120;-20;36;0
;3465;120;-20;36;0
;3528;120;-20;40;0
;3591;120;-20;40;0
;3654;120;-20;40;0
;3717;120;-20;40;175
;3780;120;-15;34;175
;3843;120;-12;34;175
;3906;120;-10;34;175
;3969;120;-7;34;175
;4032;120;-2;34;178
;4095;120;0;34;178
;4158;120;2;42;178
;4221;120;4;42;178
;4284;120;9;42;178
;4347;120;10;42;64
;4410;120;10;42;64
;4473;120;10;31;64
;4536;120;10;31;64
;4599;120;10;31;64
;4662;120;11;31;146
;4725;120;13;31;146
;4788;120;17;27;146
;4851;120;19;27;146
;4914;120;21;27;146
;4977;120;24;27;199
;5040;120;30;28;199
;5103;120;34;28;199
;5166;120;37;28;199
;5229;120;40;28;199
;5292;120;43;28;0
;5355;120;43;50;0
;5418;120;43;50;0
;5481;120;43;50;0
;5544;120;43;50;59
;5607;120;43;50;59
;5670;120;43;35;59
;5733;120;43;35;59
;5796;120;43;35;59
;5859;120;43;35;246
;5922;120;47;35;246
;5985;120;52;33;246
;6048;120;61;33;246
;6111;120;66;33;246
;6174;120;71;33;246
;6237;120;71;33;0
;6300;120;71;36;0
;6363;120;71;36;0
;6426;120;71;36;0
;6489;120;71;36;0
;6552;120;71;36;0
;6615;120;71;49;0
;6678;120;71;49;0
;6741;120;71;49;0
;6804;120;71;49;103
;6867;120;71;49;103
;6930;120;71;30;103
;6993;120;71;30;103
;7056;120;71;30;103
;7119;120;72;30;175
;7182;120;75;30;175
;7245;120;77;31;175
;7308;120;82;31;175
;7371;120;85;31;175
;7434;120;87;31;69
;7497;120;87;31;69
;7560;120;87;27;69
;7623;120;87;27;69
;7686;120;87;27;69
;7749;120;87;27;0
;7812;120;87;0;0
;7875;120;87;0;0
;7938;120;87;0;0
;8001;120;87;0;0
;8064;120;89;0;184
;8127;120;92;27;184
;8190;120;94;27;184
;8253;120;97;27;184
;8316;120;102;27;0
;8379;120;102;27;0
;8442;120;102;27;0
;8505;120;102;30;0
;8568;120;102;30;0
;8631;120;102;30;0
;8694;120;102;30;0
;8757;120;102;30;0
;8820;120;102;0;0
;8883;120;102;0;0
;8946;120;102;0;0
;9009;120;102;0;0
;9072;120;102;0;0
;9135;120;102;0;0
;9198;120;102;0;0
;9261;120;102;0;0
;9324;120;102;0;65
;9387;120;102;0;65
;9450;120;102;0;65
;9513;120;102;0;65
;9576;120;102;0;105
;9639;120;102;0;105
;9702;120;102;0;105
;9765;120;102;0;105
;9828;120;102;0;105
;9891;120;102;0;111
;9954;120;104;0;111
;10017;120;105;0;111
;10080;120;108;0;111
;10143;120;110;0;111
;10206;120;111;0;0
;10269;120;111;0;0
;10332;120;111;0;0
;10395;120;111;0;0
;10458;120;111;0;0
;10521;120;111;0;0
;10584;120;111;0;0
;10647;120;111;0;0
;10710;120;111;0;0
;10773;120;111;0;0
;10836;120;111;0;0
;10899;120;111;0;0
;10962;120;111;0;0
;11025;120;111;0;0
;11088;120;111;0;0
;11151;120;111;0;70
;11214;120;111;0;70
;11277;120;111;0;70
;11340;120;111;0;70
;11403;120;111;0;70
;11466;120;111;0;64
;11529;120;111;0;64
;11592;120;111;0;64
;11655;120;111;0;64
;11718;120;111;0;64
;11781;120;111;0;0
;11844;120;111;0;0
;11907;120;111;0;0
;11970;120;111;0;0
;12033;120;111;0;0
;12096;120;111;0;0
;12159;120;111;0;0
;12222;120;111;0;0
;12285;120;111;0;0
;12348;120;111;0;0
;12411;120;111;0;0
;12474;120;111;0;0
;12537;120;111;0;0
;12600;120;111;0;0
;12663;120;111;0;0
;12726;120;111;0;0
;12789;120;111;0;0
;12852;120;111;0;0
;12915;120;111;0;0
;12978;120;111;0;0
;13041;120;111;0;55
;13104;120;111;0;55
;13167;120;111;0;55
;13230;120;111;0;55
;13293;120;111;0;55
;13356;120;111;0;0
;13419;120;111;0;0
;13482;120;111;0;0
;13545;120;111;0;0
;13608;120;111;0;0
;13671;120;111;0;0
;13734;120;111;26;0
;13797;120;111;26;0
;13860;120;111;26;0
;13923;120;111;26;0
;13986;120;111;26;0
;14049;120;111;0;0
;14112;120;111;0;0
;14175;120;111;0;-40
;14238;120;111;0;-40
;14301;120;111;0;-40
;14364;120;111;0;-40
;14427;120;111;-34;-40
;14490;120;111;-34;-78
;14553;120;111;-34;-78
;14616;120;111;-34;-78
;14679;120;111;-34;-78
;14742;120;111;-48;-78
;14805;120;111;-48;-112
;14868;120;108;-48;-112
;14931;120;107;-48;-112
;14994;120;105;-48;-112
;15057;120;104;-48;-112
;15120;120;102;-69;-88
;15183;120;102;-69;-88
;15246;120;102;-69;-88
;15309;120;102;-69;-88
;15372;120;102;-75;-88
;15435;120;102;-75;-68
;15498;120;102;-75;-68
;15561;120;102;-75;-68
;15624;120;102;-75;-68
;15687;120;102;-60;-68
;15750;120;102;-60;-52
;15813;120;102;-60;-52
;15876;120;102;-60;-52
;15939;120;102;-60;-52
;16002;120;102;-84;-52
;16065;120;102;-84;-70
;16128;120;102;-84;-70
;16191;120;102;-84;-70
;16254;120;102;-84;-70
;16317;120;102;-96;-70
;16380;120;102;-96;-76
;16443;120;102;-96;-76
;16506;120;102;-96;-76
;16569;120;102;-96;-76
;16632;120;102;-97;-77
;16695;120;102;-97;-77
;16758;120;102;-97;-77
;16821;120;102;-97;-77
;16884;120;102;-116;-77
;16947;118;102;-116;-132
;17010;117;101;-116;-132
;17073;115;99;-116;-132
;17136;114;97;-116;-132
;17199;111;94;-116;-132
;17262;109;92;-125;-132
;17325;107;91;-125;-67
;17388;104;91;-125;-67
;17451;102;91;-125;-67
;17514;100;91;-125;-67
;17577;100;91;-109;-67
;17640;100;91;-109;-104
;17703;100;91;-109;-104
;17766;100;91;-109;-104
;17829;100;91;-109;-104
;17892;100;90;-104;-156
;17955;100;88;-104;-156
;18018;100;86;-104;-156
;18081;100;84;-104;-156
;18144;100;82;-104;-156
;18207;97;79;-124;-103
;18270;96;79;-124;-103
;18333;94;79;-124;-103
;18396;92;79;-124;-103
;18459;89;79;-140;-103
;18522;87;79;-140;-95
;18585;85;79;-140;-95
;18648;81;79;-140;-95
;18711;79;79;-140;-95
;18774;77;79;-83;-95
;18837;77;79;-83;-147
;18900;77;77;-83;-147
;18963;77;73;-83;-147
;19026;77;71;-83;-147
;19089;77;69;-94;-147
;19152;77;67;-94;-89
;19215;77;67;-94;-89
;19278;77;67;-94;-89
;19341;77;67;-94;-89
;19404;76;67;-123;-89
;19467;74;67;-123;-86
;19530;72;67;-123;-86
;19593;71;67;-123;-86
;19656;67;67;-123;-86
;19719;67;67;-104;-86
;19782;67;65;-104;-143
;19845;67;63;-104;-143
;19908;67;61;-104;-143
;19971;67;57;-104;-143
;20034;67;55;-82;-143
;20097;67;54;-82;-98
;20160;67;54;-82;-98
;20223;67;54;-82;-98
;20286;67;54;-82;-98
;20349;67;54;-98;-98
;20412;67;54;-98;-105
;20475;67;54;-98;-105
;20538;67;54;-98;-105
;20601;67;54;-98;-105
;20664;67;54;-97;-105
;20727;67;51;-97;-159
;20790;67;48;-97;-159
;20853;67;46;-97;-159
;20916;67;43;-97;-159
;20979;67;39;-103;-91
;21042;67;39;-103;-91
;21105;67;39;-103;-91
;21168;67;39;-103;-91
;21231;67;39;-147;-91
;21294;65;39;-147;-62
;21357;63;39;-147;-62
;21420;61;39;-147;-62
;21483;57;39;-147;-62
;21546;55;39;-147;-62
;21609;52;39;-179;-62
;21672;46;39;-179;-87
;21735;43;39;-179;-87
;21798;40;39;-179;-87
;21861;38;39;-179;-87
;21924;36;39;-118;-87
;21987;33;36;-118;-131
;22050;31;34;-118;-131
;22113;30;32;-118;-131
;22176;28;31;-118;-131
;22239;28;28;-91;-103
;22302;28;28;-91;-103
;22365;28;28;-91;-103
;22428;28;28;-91;-103
;22491;27;28;-120;-103
;22554;25;28;-120;-94
;22617;23;28;-120;-94
;22680;22;28;-120;-94
;22743;18;28;-120;-94
;22806;17;28;-124;-94
;22869;15;27;-124;-155
;22932;11;23;-124;-155
;22995;10;21;-124;-155
;23058;8;19;-124;-155
;23121;6;15;-74;-114
;23184;6;15;-74;-114
;23247;6;12;-74;-114
;23310;6;11;-74;-114
;23373;6;9;-74;-114
;23436;6;6;-104;-91
;23499;6;6;-104;-91
;23562;6;6;-104;-91
;23625;6;6;-104;-91
;23688;6;6;-104;-91
;23751;6;6;-104;-91
;23814;5;6;-131;-109
;23877;1;6;-131;-109
;23940;0;6;-131;-109
;24003;-1;6;-131;-109
;24066;-3;6;-131;-109
;24129;-4;4;-121;-142
;24192;-8;0;-121;-142
;24255;-10;-1;-121;-142
;24318;-11;-3;-121;-142
;24381;-14;-6;-91;-103
;24444;-14;-6;-91;-103
;24507;-14;-6;-91;-103
;24570;-14;-6;-91;-103
;24633;-14;-6;-91;-103
;24696;-14;-6;-101;-105
;24759;-14;-6;-101;-105
;24822;-14;-6;-101;-105
;24885;-14;-6;-101;-105
;24948;-14;-6;-101;-105
;25011;-14;-7;-101;-162
;25074;-14;-9;-101;-162
;25137;-14;-12;-101;-162
;25200;-14;-17;-101;-162
;25263;-14;-19;-101;-162
;25326;-14;-21;-120;-100
;25389;-16;-21;-120;-100
;25452;-19;-21;-120;-100
;25515;-21;-21;-120;-100
;25578;-22;-21;-120;-100
;25641;-24;-21;-122;-80
