x;y
-115;-110
-113;-110
-111;-110
-108;-110
-106;-110
-100;-110
-97;-110
-94;-110
-87;-110
-84;-110
-80;-110
-73;-110
-69;-110
-66;-110
-62;-110
-53;-110
-48;-110
-43;-110
-39;-110
-34;-110
-29;-110
-20;-110
-15;-110
-10;-110
-6;-110
3;-110
8;-110
17;-110
22;-110
26;-110
29;-110
33;-110
39;-110
43;-110
46;-110
48;-110
50;-110
54;-110
56;-110
58;-110
61;-110
68;-110
71;-110
74;-110
77;-110
81;-110
87;-110
94;-110
97;-110
100;-110
104;-110
107;-110
113;-110
117;-110
119;-110
121;-110
122;-110
126;-110
128;-110
